FECHA,TMAX,TMIN,NOMBRE
12112019,35.6,22.0,FORMOSA AERO
12112019,32.0,17.5,GENERAL PICO AERO
12112019,,8.0,GOBERNADOR GREGORES AERO
12112019,29.0,17.2,GUALEGUAYCHU AERO
12112019,33.5,21.5,IGUAZU AERO
12112019,33.0,19.0,ITUZAINGO
12112019,32.0,16.4,JACHAL
12112019,32.5,20.8,JUJUY AERO
12112019,27.3,18.3,JUJUY U N
12112019,28.5,16.0,JUNIN AERO
12112019,25.4,17.2,LA PLATA AERO
12112019,21.6,7.5,LA QUIACA OBSERVATORIO
12112019,35.7,22.5,LA RIOJA AERO
12112019,30.3,18.4,LABOULAYE AERO
12112019,,16.2,LAS FLORES
12112019,36.5,22.6,LAS LOMITAS
12112019,27.2,13.0,MALARGUE AERO
12112019,27.4,6.8,MAQUINCHAO
12112019,19.0,15.5,MAR DEL PLATA AERO
12112019,28.2,15.7,MARCOS JUAREZ AERO
12112019,28.5,15.4,MARIANO MORENO AERO
12112019,29.5,19.8,MENDOZA AERO
12112019,,18.2,MENDOZA OBSERVATORIO
12112019,32.6,18.6,MERCEDES AERO (CTES)
12112019,28.5,17.5,MERLO AERO
12112019,,19.5,METAN
12112019,30.4,18.4,MONTE CASEROS AERO
12112019,28.2,18.5,MORON AERO
12112019,30.4,12.8,NEUQUEN AERO
12112019,28.5,15.5,NUEVE DE JULIO
12112019,33.5,21.0,OBERA
12112019,21.9,14.6,OLAVARRIA AERO
12112019,36.2,20.4,ORAN AERO
12112019,30.0,17.0,PARANA AERO
12112019,27.9,7.9,PASO DE INDIOS
12112019,32.0,18.8,PASO DE LOS LIBRES AERO
12112019,27.6,18.4,PEHUAJO AERO
12112019,24.0,7.5,PERITO MORENO AERO
12112019,25.0,15.7,PIGUE AERO
12112019,29.9,17.9,PILAR OBSERVATORIO
12112019,33.9,21.8,POSADAS AERO
12112019,35.6,20.5,PRESIDENCIA ROQUE SAENZ PEÑA AERO
12112019,17.7,7.0,PUERTO DESEADO AERO
12112019,20.6,10.4,PUERTO MADRYN AERO
12112019,24.2,17.3,PUNTA INDIO B.A.
12112019,32.5,17.0,RAFAELA AERO
12112019,30.0,18.9,RECONQUISTA AERO
12112019,36.6,20.6,RESISTENCIA AERO
12112019,26.6,16.6,RIO COLORADO
12112019,27.1,19.5,RIO CUARTO AERO
12112019,18.3,3.0,RIO GALLEGOS AERO
12112019,19.6,3.1,RIO GRANDE B.A.
12112019,38.6,23.3,RIVADAVIA
